timeInSecondsSinceEpoch;source;destination;databytes
1717607611.355703;192.168.1.1.8888;172.23.69.13.59034;8b2d94699b90
1717607611.355877;192.168.1.1.8888;172.23.69.13.59034;5b535ba1b054
1717607611.355898;192.168.1.1.8888;172.23.69.13.59034;c6b233aeca86
1717607611.356004;192.168.1.1.8888;172.23.69.13.59034;d8d3b6e711b1
1717607611.356134;192.168.1.1.8888;172.23.69.13.59034;3b76e6794107
1717607611.358251;192.168.1.1.8888;172.23.69.13.59034;8c9694800258
1717607611.362102;192.168.1.1.8888;172.23.69.13.59034;4abe924d58f5
1717607611.362142;192.168.1.1.8888;172.23.69.13.59034;3d6ffca1e256
1717607611.389296;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.389426;192.168.1.1.8888;172.23.69.13.59034;8a58fb7b6078
1717607611.389798;192.168.1.1.8888;172.23.69.13.59034;6b0e1e2e4120
1717607611.389804;192.168.1.1.8888;172.23.69.13.59034;e2a32b56c859
1717607611.389807;192.168.1.1.8888;172.23.69.13.59034;44cdffbc3b7b
1717607611.391638;192.168.1.1.8888;172.23.69.13.59034;d1ccbae448a0
1717607611.391681;192.168.1.1.8888;172.23.69.13.59034;aa0ce3305efd
1717607611.391685;192.168.1.1.8888;172.23.69.13.59034;0fbf4ae26f55
1717607611.421910;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.421942;192.168.1.1.8888;172.23.69.13.59034;184b7734c110
1717607611.422013;192.168.1.1.8888;172.23.69.13.59034;d2286713daef
1717607611.422200;192.168.1.1.8888;172.23.69.13.59034;fa7aee4a1d5c
1717607611.422270;192.168.1.1.8888;172.23.69.13.59034;c21185d0bb28
1717607611.422766;192.168.1.1.8888;172.23.69.13.59034;8345a9eb7f73
1717607611.423022;192.168.1.1.8888;172.23.69.13.59034;0063b8ce0dea
1717607611.423475;192.168.1.1.8888;172.23.69.13.59034;da5028d5f3e1
1717607611.423517;192.168.1.1.8888;172.23.69.13.59034;f7d56e668720
1717607611.423540;192.168.1.1.8888;172.23.69.13.59034;4e54b94c1109
1717607611.423776;192.168.1.1.8888;172.23.69.13.59034;f1f6106208ef
1717607611.423876;192.168.1.1.8888;172.23.69.13.59034;72a33f8e0782
1717607611.423993;192.168.1.1.8888;172.23.69.13.59034;174f9a9c02fe
1717607611.424093;192.168.1.1.8888;172.23.69.13.59034;acee55e5119f
1717607611.424216;192.168.1.1.8888;172.23.69.13.59034;6a28751decac
1717607611.424344;192.168.1.1.8888;172.23.69.13.59034;f39680e940fd
1717607611.424468;192.168.1.1.8888;172.23.69.13.59034;de626536699c
1717607611.424584;192.168.1.1.8888;172.23.69.13.59034;8e408546c962
1717607611.424708;192.168.1.1.8888;172.23.69.13.59034;2b0ddf282afa
1717607611.424814;192.168.1.1.8888;172.23.69.13.59034;b3a288a0452b
1717607611.458855;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.459156;192.168.1.1.8888;172.23.69.13.59034;6785272a0695
1717607611.459541;192.168.1.1.8888;172.23.69.13.59034;61f12d4861b0
1717607611.459566;192.168.1.1.8888;172.23.69.13.59034;968fcdc1b3fc
1717607611.488773;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.489451;192.168.1.1.8888;172.23.69.13.59034;167e97e48178
1717607611.490430;192.168.1.1.8888;172.23.69.13.59034;51880171de3c
1717607611.490482;192.168.1.1.8888;172.23.69.13.59034;21dbebd84bbc
1717607611.490693;192.168.1.1.8888;172.23.69.13.59034;8b17f2f52a11
1717607611.490903;192.168.1.1.8888;172.23.69.13.59034;8be568a80faa
1717607611.491143;192.168.1.1.8888;172.23.69.13.59034;cf4e3be9df6e
1717607611.491159;192.168.1.1.8888;172.23.69.13.59034;afb7eaf56401
1717607611.491350;192.168.1.1.8888;172.23.69.13.59034;47bc820fe033
1717607611.491554;192.168.1.1.8888;172.23.69.13.59034;4518b33c97cb
1717607611.527778;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.527823;192.168.1.1.8888;172.23.69.13.59034;bc169211cf65
1717607611.527829;192.168.1.1.8888;172.23.69.13.59034;de9bd08a60de
1717607611.555029;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.555067;192.168.1.1.8888;172.23.69.13.59034;e777ae9b3cbc
1717607611.555097;192.168.1.1.8888;172.23.69.13.59034;e64be56ec8d0
1717607611.555211;192.168.1.1.8888;172.23.69.13.59034;d003065272c4
1717607611.555348;192.168.1.1.8888;172.23.69.13.59034;80448099d72e
1717607611.555448;192.168.1.1.8888;172.23.69.13.59034;77ff6a14efac
1717607611.555578;192.168.1.1.8888;172.23.69.13.59034;4a6f62125969
1717607611.555698;192.168.1.1.8888;172.23.69.13.59034;ff8c1efc6ee7
1717607611.555823;192.168.1.1.8888;172.23.69.13.59034;33248dc4c748
1717607611.556281;192.168.1.1.8888;172.23.69.13.59034;542ba9f8c732
1717607611.556301;192.168.1.1.8888;172.23.69.13.59034;e2f6421c21ca
1717607611.556451;192.168.1.1.8888;172.23.69.13.59034;7126e5a4c292
1717607611.556724;192.168.1.1.8888;172.23.69.13.59034;5663abce4c4f
1717607611.556964;192.168.1.1.8888;172.23.69.13.59034;9eb11fd40b58
1717607611.557209;192.168.1.1.8888;172.23.69.13.59034;66e12d0fcfaa
1717607611.557471;192.168.1.1.8888;172.23.69.13.59034;8d2e58f4fa80
